run,lambda_tag,lambda_unique,checkpoint,sid_report,unique_sid_rate,unique_pid_rate,sid_collision_group_count,max_pois_per_sid,prefix1_semantic_purity,prefix2_semantic_purity,prefix3_semantic_purity,qrels_sid_collision_count,qrels_sid_collision_rate,qrels_pid_collision_count,qrels_pid_collision_rate,codebook0_usage_rate,codebook1_usage_rate,codebook2_usage_rate,best_epoch,best_val_loss,reconstruction_cosine,category_heldout_macro_f1,category_heldout_accuracy,train_tag_base_ratio,train_unique_base_ratio,valid_collision_pairs_per_batch,zero_pair_batch_rate,active_margin_pair_rate,collision_pair_mean_cosine,val_online_unique_sid_rate,delta_prefix1_semantic_purity,delta_prefix2_semantic_purity,delta_prefix3_semantic_purity,delta_unique_sid_rate,delta_sid_collision_group_count,delta_max_pois_per_sid,delta_qrels_sid_collision_rate,delta_unique_pid_rate,delta_qrels_pid_collision_rate,delta_reconstruction_cosine,min_codebook_usage_rate,passes_protection,primary_score
semantic_baseline,,,outputs/rqvae/rqvae_semantic.pt,reports/sid_quality_semantic.md,0.5617,0.9676,15547,211,0.3527,0.4461,0.7651,4812,0.4943,80,0.0082,1.0,1.0,1.0,142,0.81053485,0.51573642,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
P1_tag0025_unique010,0.025,0.1,outputs/experiments/cau_rqvae/pilot_tag0025_unique010/checkpoint.pt,outputs/experiments/cau_rqvae/pilot_tag0025_unique010/sid_quality.md,0.5861,0.9696,15430,209,0.3533,0.4477,0.7776,4601,0.4726,72,0.0074,1.0,1.0,1.0,1,0.828203914315462,0.5124523018456656,0.6728188415447691,0.7242649881016351,0.0792288855176349,0.0180490409395943,128.0,0.0,0.3433478860294117,0.7257094508540296,0.8985189248491497,0.0005999999999999,0.0015999999999999,0.0124999999999999,0.0243999999999999,-117.0,-2.0,-0.0216999999999999,0.002,-0.0008,-0.0032841181543343,1.0,True,0.2384999999999997
P2_tag0025_unique015,0.025,0.15,outputs/experiments/cau_rqvae/pilot_tag0025_unique015/checkpoint.pt,outputs/experiments/cau_rqvae/pilot_tag0025_unique015/sid_quality.md,0.5973,0.971,15433,207,0.3498,0.4463,0.782,4492,0.4614,69,0.0071,1.0,1.0,1.0,1,0.8304280962820222,0.5116480138363317,0.6399280009436635,0.6951715667459891,0.0800968205230998,0.0263674141503987,128.0,0.0,0.3271484375,0.7183547434174483,0.9012616566099836,-0.0029,0.0001999999999999,0.0169,0.0356,-114.0,-4.0,-0.0329,0.0033999999999999,-0.0011,-0.0040884061636682,1.0,True,0.3175000000000004
CAU_Final_P1,0.025,0.1,outputs/experiments/cau_rqvae/final_p1/best_sid_metrics.pt,reports/sid_quality_cau.md,0.6008867760661882,0.9718517164144993,15719,202,0.3641815605430361,0.453718517164145,0.7860218494309091,4565,0.4689265536723164,73,0.007498715973292244,1.0,1.0,1.0,13,0.8280338435291612,0.511912809209079,0.9397201913586721,0.9461119213940278,0.017384427383355675,0.014159026966795758,128.0,0.0,0.21185661764705882,0.6943565213450176,0.9133296763576523,0.011481560543036062,0.007618517164145022,0.020921849430909134,0.039186776066188256,172.0,-9.0,-0.025373446327683624,0.004251716414499285,-0.0007012840267077566,-0.0038236107909209727,1.0,True,0.33428267251239546
