run,lambda_tag,lambda_unique,checkpoint,sid_report,unique_sid_rate,unique_pid_rate,sid_collision_group_count,max_pois_per_sid,prefix1_semantic_purity,prefix2_semantic_purity,prefix3_semantic_purity,qrels_sid_collision_count,qrels_sid_collision_rate,qrels_pid_collision_count,qrels_pid_collision_rate,codebook0_usage_rate,codebook1_usage_rate,codebook2_usage_rate,best_epoch,best_val_loss,reconstruction_cosine,category_heldout_macro_f1,category_heldout_accuracy,train_tag_base_ratio,train_unique_base_ratio,valid_collision_pairs_per_batch,zero_pair_batch_rate,active_margin_pair_rate,collision_pair_mean_cosine,val_online_unique_sid_rate,delta_prefix1_semantic_purity,delta_prefix2_semantic_purity,delta_prefix3_semantic_purity,delta_unique_sid_rate,delta_sid_collision_group_count,delta_max_pois_per_sid,delta_qrels_sid_collision_rate,delta_unique_pid_rate,delta_qrels_pid_collision_rate,delta_reconstruction_cosine,min_codebook_usage_rate,passes_protection,primary_score
semantic_baseline,,,outputs/rqvae/rqvae_semantic.pt,reports/sid_quality_semantic.md,0.5617,0.9676,15547,211,0.3527,0.4461,0.7651,4812,0.4943,80,0.0082,1.0,1.0,1.0,142,0.81053485,0.51573642,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
P1_tag0025_unique010,0.025,0.1,outputs/experiments/cau_rqvae/pilot_tag0025_unique010/checkpoint.pt,outputs/experiments/cau_rqvae/pilot_tag0025_unique010/sid_quality.md,0.5861,0.9696,15430,209,0.3533,0.4477,0.7776,4601,0.4726,72,0.0074,1.0,1.0,1.0,1,0.828203914315462,0.5124523018456656,0.6728188415447691,0.7242649881016351,0.0792288855176349,0.0180490409395943,128.0,0.0,0.3433478860294117,0.7257094508540296,0.8985189248491497,0.0005999999999999894,0.0015999999999999903,0.012499999999999956,0.024399999999999977,-117.0,-2.0,-0.021699999999999997,0.0020000000000000018,-0.0008000000000000004,-0.003284118154334381,1.0,True,0.23849999999999977
P2_tag0025_unique015,0.025,0.15,outputs/experiments/cau_rqvae/pilot_tag0025_unique015/checkpoint.pt,outputs/experiments/cau_rqvae/pilot_tag0025_unique015/sid_quality.md,0.5973,0.971,15433,207,0.3498,0.4463,0.782,4492,0.4614,69,0.0071,1.0,1.0,1.0,1,0.8304280962820222,0.5116480138363317,0.6399280009436635,0.6951715667459891,0.0800968205230998,0.0263674141503987,128.0,0.0,0.3271484375,0.7183547434174483,0.9012616566099836,-0.0029000000000000137,0.00019999999999997797,0.016900000000000026,0.035600000000000076,-114.0,-4.0,-0.03290000000000004,0.0033999999999999586,-0.0011000000000000003,-0.0040884061636682345,1.0,True,0.31750000000000045
